,sample_n,run_id,v_type
5,3,46,pose
0,5,46,animacy
1,5,46,animacy
2,5,46,animacy
3,4,46,animacy
4,1,46,animacy
5,2,46,animacy
0,74,47,background
1,53,47,background
2,37,47,background
3,27,47,background
4,24,47,background
5,2,47,background
0,12,47,identity
1,6,47,identity
2,73,47,identity
3,106,47,identity
4,12,47,identity
5,16,47,identity
0,19,47,number
1,1,47,number
2,12,47,number
3,137,47,number
4,15,47,number
5,13,47,number
0,16,47,pose
1,8,47,pose
2,44,47,pose
3,107,47,pose
4,7,47,pose
5,14,47,pose
0,13,47,animacy
1,3,47,animacy
2,30,47,animacy
3,102,47,animacy
4,47,47,animacy
5,17,47,animacy
0,1,48,background
1,1,48,background
2,1,48,background
3,1,48,background
4,5,48,background
5,128,48,background
0,1,48,identity
1,1,48,identity
2,1,48,identity
3,1,48,identity
4,15,48,identity
5,93,48,identity
0,1,48,number
1,1,48,number
2,1,48,number
3,1,48,number
4,43,48,number
5,73,48,number
0,1,48,pose
1,1,48,pose
2,1,48,pose
3,1,48,pose
4,7,48,pose
5,127,48,pose
0,1,48,animacy
1,1,48,animacy
2,1,48,animacy
3,1,48,animacy
4,3,48,animacy
5,50,48,animacy
0,2,49,background
1,5,49,background
2,2,49,background
3,78,49,background
4,3,49,background
5,1,49,background
0,1,49,identity
1,7,49,identity
2,2,49,identity
3,6,49,identity
4,1,49,identity
5,34,49,identity
0,1,49,number
1,1,49,number
2,7,49,number
3,2,49,number
4,4,49,number
5,38,49,number
0,1,49,pose
1,1,49,pose
2,9,49,pose
3,2,49,pose
4,75,49,pose
5,2,49,pose
0,1,49,animacy
1,1,49,animacy
2,7,49,animacy
3,1,49,animacy
4,80,49,animacy
5,5,49,animacy
0,9,50,background
1,1,50,background
2,1,50,background
3,1,50,background
4,1,50,background
5,7,50,background
0,10,50,identity
1,1,50,identity
2,2,50,identity
3,1,50,identity
4,2,50,identity
5,4,50,identity
0,12,50,number
1,2,50,number
2,3,50,number
3,4,50,number
4,8,50,number
5,4,50,number
0,9,50,pose
1,2,50,pose
2,1,50,pose
3,3,50,pose
4,2,50,pose
5,3,50,pose
0,11,50,animacy
1,1,50,animacy
2,2,50,animacy
3,1,50,animacy
4,1,50,animacy
5,2,50,animacy
0,30,51,background
1,8,51,background
2,7,51,background
3,4,51,background
4,1,51,background
5,2,51,background
0,16,51,identity
1,10,51,identity
2,10,51,identity
3,8,51,identity
4,3,51,identity
5,7,51,identity
0,24,51,number
1,4,51,number
2,2,51,number
3,6,51,number
4,4,51,number
5,9,51,number
0,30,51,pose
1,10,51,pose
2,12,51,pose
3,1,51,pose
4,1,51,pose
5,12,51,pose
0,14,51,animacy
1,10,51,animacy
2,4,51,animacy
3,5,51,animacy
4,1,51,animacy
5,9,51,animacy
0,32,52,background
1,35,52,background
2,10,52,background
3,11,52,background
4,36,52,background
5,12,52,background
0,50,52,identity
1,34,52,identity
2,31,52,identity
3,15,52,identity
4,17,52,identity
5,4,52,identity
0,62,52,number
1,60,52,number
2,19,52,number
3,21,52,number
4,9,52,number
5,3,52,number
0,3,52,pose
1,76,52,pose
